tconst,title,year,genres,rating,votes,directorID,topActors
tt8396238,Farzand,2018.0,"Action,Drama,History",8.1,1846,nm9829530,"['nm0474604', 'nm2346665', 'nm0944832']"
tt8396294,Darlin',2019.0,"Horror,Thriller",4.9,2485,nm1717573,"['nm2415276', 'nm5339992', 'nm7175288']"
tt8396480,Palma,2021.0,"Drama,Family",6.9,1298,nm4823096,"['nm9823763', 'nm1595810', 'nm10952623']"
tt8396492,The Great Indian Road Movie,2019.0,"Adventure,Drama,Family",8.5,3611,nm3282824,"['nm9829769', 'nm9829772', 'nm9829771']"
tt8398928,The Heiress,2021.0,Horror,3.3,1679,nm5144187,"['nm1963755', 'nm2479184', 'nm0769442']"
tt8399288,Memoria,2021.0,"Drama,Mystery,Sci-Fi",6.4,12268,nm0917405,"['nm0842770', 'nm8013928', 'nm0319843']"
tt8399658,Daliland,2022.0,"Biography,Drama",5.9,2828,nm0366004,"['nm0001426', 'nm0837784', 'nm10447374']"
tt8399664,Babyteeth,2019.0,"Comedy,Drama,Romance",7.2,20022,nm2221724,"['nm7340546', 'nm9334013', 'nm3108675']"
tt8399690,Anthropocene: The Human Epoch,2018.0,Documentary,7.2,2161,"nm0047028,nm2344305,nm0671640","['nm14161835', 'nm2539953']"
tt8399718,Hunt for the Skinwalker,2018.0,Documentary,4.5,1108,nm5071788,
tt8399720,Tina,2021.0,"Biography,Documentary,Music",7.9,6559,"nm2418675,nm1390562",
tt8400584,The Perfect Find,2023.0,"Comedy,Drama,Romance",5.2,3606,nm0667015,"['nm0005517', 'nm5469428', 'nm0868659']"
tt8400758,Killers Anonymous,2019.0,"Action,Crime,Mystery",4.0,10530,nm1966532,"['nm0281107', 'nm0114499', 'nm1769728']"
tt8402090,Cumali Ceber 2,2018.0,Comedy,1.2,10456,nm0149131,"['nm7835997', 'nm3753408', 'nm7038164']"
tt8404256,Snake Eyes,2021.0,"Action,Adventure,Crime",5.4,46857,nm0777881,"['nm6525901', 'nm4010671', 'nm4010671']"
tt8404272,How Long Will I Love U,2018.0,"Comedy,Fantasy,Romance",6.4,1361,nm6050764,"['nm5042060', 'nm4405625', 'nm10424193']"
tt8404614,The Two Popes,2019.0,"Biography,Comedy,Drama",7.6,142899,nm0576987,"['nm0000596', 'nm0000596', 'nm0000164']"
tt8405810,An Unexpected Love,2018.0,"Comedy,Romance",6.7,2734,nm0893556,"['nm0201857', 'nm0608187', 'nm0285120']"
